Recency,Frequency,Monetary,Returns,CustomerID,Country
374,0,1176.23,1,17850,United Kingdom
33,37.77777778,676.31,8,13047,United Kingdom
5,24.26666667,766.59,3,12583,France
97,69.25,111.9,0,13748,United Kingdom
335,13,32.85,3,15100,United Kingdom
27,22.8,524.63,5,15291,United Kingdom
9,17,696.85,6,14688,United Kingdom
18,29.41666667,177.25,3,17809,United Kingdom
2,3.549450549,5961.86,27,15311,United Kingdom
4,6.2,5207.7,31,14527,United Kingdom
89,35.25,296.45,0,16098,United Kingdom
375,0,62.15,0,18074,United Kingdom
52,107.3333333,116.44,0,17420,United Kingdom
40,5.180327869,8722.39,13,16029,United Kingdom
263,56,74.12,0,16250,United Kingdom
37,22.13333333,889.49,3,12431,Australia
4,11.125,2221.28,15,17511,United Kingdom
235,0,12.15,2,17548,United Kingdom
9,121.6666667,213.04,0,13705,United Kingdom
375,0,9.95,0,13747,United Kingdom
3,6.086206897,1165.89,19,13408,United Kingdom
4,9.861111111,1366.58,15,13767,United Kingdom
13,51.42857143,100.64,6,17924,United Kingdom
18,59.16666667,620.53,4,13448,United Kingdom
10,91,402.47,0,15862,United Kingdom
35,17.57894737,1265.07,3,15513,United Kingdom
375,0,16.85,0,12791,Netherlands
31,48.85714286,140.39,1,16218,United Kingdom
111,65.75,25.4,0,14045,United Kingdom
90,47,447.56,0,14307,United Kingdom
375,0,155.01,0,17908,United Kingdom
6,21.11764706,1623.75,0,17920,United Kingdom
0,0,0,0,0,0
35,170,285.33,0,12838,United Kingdom
11,182,64.48,1,13255,United Kingdom
375,0,35.9,0,16583,United Kingdom
332,21.5,82.5,0,18085,United Kingdom
13,51.28571429,384.69,0,13758,United Kingdom
5,7,891.19,10,13694,United Kingdom
24,87.5,237.4,0,15983,United Kingdom
23,15.77272727,946.84,3,14849,United Kingdom
375,0,163.98,0,17968,United Kingdom
3,20.22222222,462.19,0,16210,United Kingdom
174,66.66666667,351.11,1,17897,United Kingdom
25,17.05,1088.55,1,17377,United Kingdom
244,65,69.87,0,16552,United Kingdom
59,158,69.91,0,17181,United Kingdom
41,111,44.17,1,17951,United Kingdom
375,0,153.3,0,14729,United Kingdom
2,1.412322275,12205.6,14,12748,United Kingdom
55,159.5,334.53,0,15012,United Kingdom
187,30.83333333,279.45,0,12868,United Kingdom
73,75,37.9,0,17572,United Kingdom
103,44.83333333,174.23,0,14078,United Kingdom
47,109,137.91,1,14001,United Kingdom
2,33.45454545,737.49,1,12662,Germany
4,123.3333333,481.18,1,15525,United Kingdom
375,0,64.1,0,14237,United Kingdom
73,75.25,128.99,0,17905,United Kingdom
