Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Bahrain,BHR,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,208.801,233.928,244.115,341.232,416.514,..,..,..,..,564.331,504.494,417.5829886,338.0710086,265.615452,258.367992,240.107004,387.3108131,390.39,420.98375
Bahrain,BHR,Aquaculture production (metric tons),ER.FSH.AQUA.MT,12,0,3,4,8,3,2,1,2,2,3.187,3.424,1.725,0,5.71,6,6,..,..
Bangladesh,BGD,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,193.867,169.602,171.582,175.496,180.432,183.493,190.831,89.026,84.219,0.013,164.4246386,159.6927835,152.319037,225.1869,207.73842,57.00954718,53.97916179,61.74997781,63.81815198
Bangladesh,BGD,Aquaculture production (metric tons),ER.FSH.AQUA.MT,657120,712640,786604,856956,914752,882091,892049,945812,1005542,1064285,1308515,1523759,1726066,1859808,1956925,2060408,2203554,..,..
Canada,CAN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,1896.114,1709.813,1578.027,1496.297,1656.579,1526.819,1503.185,1429.845,1388.665,1346.938,1957.328536,1980,1960,1946.305597,2084.318163,2074.830881,2246.227096,2840.985135,3434.073
Canada,CAN,Aquaculture production (metric tons),ER.FSH.AQUA.MT,127665,153046,172046,167798,145018,154587,171629,152486,155549,155928,162341,169706,184910,168015,139732,187374,200765,..,..
Guatemala,GTM,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..,..,..,..,..,..,..,..,..,..,4.090865359,4.186798666,3.712225445,0,0.09123,0.45552,0.63203,0.546373,0.107366
Guatemala,GTM,Aquaculture production (metric tons),ER.FSH.AQUA.MT,3963,5100,7978,6346,4908,9008,16293,16400,18727,16623,22792.23,21468,17743,17047,20761.5,22049,26268,..,..
"Hong Kong SAR, China",HKG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,5111.511,5066.022,5714.644,5780.75,6931.629,7763.873,8325.969,10028.957,8985.895,13293.176,10373.43477,10053.89845,9468.41801,9396.48053,10826.12281,11294.27249,11409.11876,12415.19932,12676.72175
"Hong Kong SAR, China",HKG,Aquaculture production (metric tons),ER.FSH.AQUA.MT,4988,5627,4302,4857,4615,4130,4125,4514,4754,4819,4338,3438,4093,3764,3897,3894,4258,..,..
