,location,city,country,utc,parameter,value,unit,latitude,longitude,attribution
0,Toronto Downtown,ONTARIO,CA,2015-01-01 02:00:00+00:00,pm25,6,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
1,Toronto Downtown,ONTARIO,CA,2015-01-01 12:00:00+00:00,pm25,6,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
2,Toronto Downtown,ONTARIO,CA,2015-01-01 14:00:00+00:00,pm25,7,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
3,Toronto Downtown,ONTARIO,CA,2015-01-01 17:00:00+00:00,pm25,5,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
4,Toronto Downtown,ONTARIO,CA,2015-01-01 20:00:00+00:00,pm25,3,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
5,Toronto Downtown,ONTARIO,CA,2015-01-01 21:00:00+00:00,pm25,4,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
6,Toronto Downtown,ONTARIO,CA,2015-01-01 22:00:00+00:00,pm25,5,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
7,Toronto Downtown,ONTARIO,CA,2015-01-02 05:00:00+00:00,pm25,7,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
8,Toronto Downtown,ONTARIO,CA,2015-01-02 07:00:00+00:00,pm25,4,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
9,Toronto Downtown,ONTARIO,CA,2015-01-02 08:00:00+00:00,pm25,4,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
10,Toronto Downtown,ONTARIO,CA,2015-01-02 09:00:00+00:00,pm25,5,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
11,Toronto Downtown,ONTARIO,CA,2015-01-02 12:00:00+00:00,pm25,3,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
12,Toronto Downtown,ONTARIO,CA,2015-01-02 13:00:00+00:00,pm25,4,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
13,Toronto Downtown,ONTARIO,CA,2015-01-02 19:00:00+00:00,pm25,9,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
14,Toronto Downtown,ONTARIO,CA,2015-01-02 23:00:00+00:00,pm25,14,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
15,Toronto Downtown,ONTARIO,CA,2015-01-03 01:00:00+00:00,pm25,13,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
16,Toronto Downtown,ONTARIO,CA,2015-01-03 03:00:00+00:00,pm25,13,µg/m³,43.6619,-79.3853,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ontario Ministry of the Environment""}]"
