,location,city,country,utc,parameter,value,unit,latitude,longitude,attribution
0,US Diplomatic Post: Guatemala City,Guatemala City,GT,2016-10-20 21:00:00+00:00,pm25,13,µg/m³,14.607198,-90.514255,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
1,US Diplomatic Post: Guatemala City,Guatemala City,GT,2016-10-20 22:00:00+00:00,pm25,16,µg/m³,14.607198,-90.514255,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
2,US Diplomatic Post: Guatemala City,Guatemala City,GT,2016-10-20 23:00:00+00:00,pm25,20,µg/m³,14.607198,-90.514255,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
3,US Diplomatic Post: Guatemala City,Guatemala City,GT,2016-10-21 00:00:00+00:00,pm25,20,µg/m³,14.607198,-90.514255,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
4,US Diplomatic Post: Guatemala City,Guatemala City,GT,2016-10-21 01:00:00+00:00,pm25,25,µg/m³,14.607198,-90.514255,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
5,US Diplomatic Post: Guatemala City,Guatemala City,GT,2016-10-21 02:00:00+00:00,pm25,26,µg/m³,14.607198,-90.514255,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
6,US Diplomatic Post: Guatemala City,Guatemala City,GT,2016-10-21 03:00:00+00:00,pm25,23,µg/m³,14.607198,-90.514255,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
7,US Diplomatic Post: Guatemala City,Guatemala City,GT,2016-10-21 04:00:00+00:00,pm25,18,µg/m³,14.607198,-90.514255,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
8,US Diplomatic Post: Guatemala City,Guatemala City,GT,2016-10-21 05:00:00+00:00,pm25,22,µg/m³,14.607198,-90.514255,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
9,US Diplomatic Post: Guatemala City,Guatemala City,GT,2016-10-21 06:00:00+00:00,pm25,18,µg/m³,14.607198,-90.514255,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
