,location,city,country,utc,parameter,value,unit,latitude,longitude,attribution
0,HU0057A,Csongrád,HU,2015-01-01 02:00:00+00:00,pm25,36.65116,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
1,HU0057A,Csongrád,HU,2015-01-01 03:00:00+00:00,pm25,36.95691,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
2,HU0057A,Csongrád,HU,2015-01-01 04:00:00+00:00,pm25,42.60091,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
3,HU0057A,Csongrád,HU,2015-01-01 07:00:00+00:00,pm25,42.511154,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
4,HU0057A,Csongrád,HU,2015-01-01 08:00:00+00:00,pm25,45.61929,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
5,HU0057A,Csongrád,HU,2015-01-01 09:00:00+00:00,pm25,45.598057,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
6,HU0057A,Csongrád,HU,2015-01-01 10:00:00+00:00,pm25,45.20612,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
7,HU0057A,Csongrád,HU,2015-01-01 12:00:00+00:00,pm25,42.47052,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
8,HU0057A,Csongrád,HU,2015-01-01 14:00:00+00:00,pm25,39.09073,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
9,HU0057A,Csongrád,HU,2015-01-01 16:00:00+00:00,pm25,38.167809999999996,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
10,HU0057A,Csongrád,HU,2015-01-01 17:00:00+00:00,pm25,37.901016,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
11,HU0057A,Csongrád,HU,2015-01-01 18:00:00+00:00,pm25,32.97609,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
12,HU0057A,Csongrád,HU,2015-01-01 19:00:00+00:00,pm25,32.864143,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
13,HU0057A,Csongrád,HU,2015-01-01 20:00:00+00:00,pm25,30.79775,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
14,HU0057A,Csongrád,HU,2015-01-01 22:00:00+00:00,pm25,32.74411,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
15,HU0057A,Csongrád,HU,2015-01-01 23:00:00+00:00,pm25,32.915005,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
16,HU0057A,Csongrád,HU,2015-01-02 00:00:00+00:00,pm25,36.06966,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
17,HU0057A,Csongrád,HU,2015-01-02 01:00:00+00:00,pm25,36.379677,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
18,HU0057A,Csongrád,HU,2015-01-02 02:00:00+00:00,pm25,41.94368,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
19,HU0057A,Csongrád,HU,2015-01-02 03:00:00+00:00,pm25,41.676224,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
20,HU0057A,Csongrád,HU,2015-01-02 04:00:00+00:00,pm25,36.87607,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
21,HU0057A,Csongrád,HU,2015-01-02 05:00:00+00:00,pm25,36.77562,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
22,HU0057A,Csongrád,HU,2015-01-02 06:00:00+00:00,pm25,34.97282,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
23,HU0057A,Csongrád,HU,2015-01-02 07:00:00+00:00,pm25,34.901955,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
24,HU0057A,Csongrád,HU,2015-01-02 08:00:00+00:00,pm25,33.63004,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
25,HU0057A,Csongrád,HU,2015-01-02 09:00:00+00:00,pm25,33.714764,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
26,HU0057A,Csongrád,HU,2015-01-02 10:00:00+00:00,pm25,35.23542,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
27,HU0057A,Csongrád,HU,2015-01-02 11:00:00+00:00,pm25,35.102444,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
28,HU0057A,Csongrád,HU,2015-01-02 12:00:00+00:00,pm25,32.71593,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
29,HU0057A,Csongrád,HU,2015-01-02 13:00:00+00:00,pm25,32.342909999999996,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
30,HU0057A,Csongrád,HU,2015-01-02 14:00:00+00:00,pm25,25.64821,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
31,HU0057A,Csongrád,HU,2015-01-02 15:00:00+00:00,pm25,25.79964,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
32,HU0057A,Csongrád,HU,2015-01-02 17:00:00+00:00,pm25,28.225044,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
33,HU0057A,Csongrád,HU,2015-01-02 18:00:00+00:00,pm25,22.97786,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
34,HU0057A,Csongrád,HU,2015-01-02 19:00:00+00:00,pm25,3.9242866000000003,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
35,HU0057A,Csongrád,HU,2015-01-02 20:00:00+00:00,pm25,0.585,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
36,HU0057A,Csongrád,HU,2015-01-02 21:00:00+00:00,pm25,5.49913,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
37,HU0057A,Csongrád,HU,2015-01-02 22:00:00+00:00,pm25,6.462365,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
38,HU0057A,Csongrád,HU,2015-01-02 23:00:00+00:00,pm25,5.6881466,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
39,HU0057A,Csongrád,HU,2015-01-03 01:00:00+00:00,pm25,7.134398,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
40,HU0057A,Csongrád,HU,2015-01-03 02:00:00+00:00,pm25,7.447328,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
41,HU0057A,Csongrád,HU,2015-01-03 03:00:00+00:00,pm25,8.192836999999999,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
42,HU0057A,Csongrád,HU,2015-01-03 06:00:00+00:00,pm25,7.453082000000001,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
43,HU0057A,Csongrád,HU,2015-01-03 07:00:00+00:00,pm25,6.923975,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
44,HU0057A,Csongrád,HU,2015-01-03 08:00:00+00:00,pm25,6.820263000000001,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
45,HU0057A,Csongrád,HU,2015-01-03 12:00:00+00:00,pm25,6.415496,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
46,HU0057A,Csongrád,HU,2015-01-03 13:00:00+00:00,pm25,9.274372999999999,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
47,HU0057A,Csongrád,HU,2015-01-03 14:00:00+00:00,pm25,9.829081,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
48,HU0057A,Csongrád,HU,2015-01-03 16:00:00+00:00,pm25,8.760796000000001,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
49,HU0057A,Csongrád,HU,2015-01-03 17:00:00+00:00,pm25,9.426167,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
50,HU0057A,Csongrád,HU,2015-01-03 18:00:00+00:00,pm25,9.555268,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
51,HU0057A,Csongrád,HU,2015-01-03 19:00:00+00:00,pm25,7.460528,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
52,HU0057A,Csongrád,HU,2015-01-03 20:00:00+00:00,pm25,7.054086,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
53,HU0057A,Csongrád,HU,2015-01-03 21:00:00+00:00,pm25,7.109871000000001,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
54,HU0057A,Csongrád,HU,2015-01-03 23:00:00+00:00,pm25,8.820634,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
55,HU0057A,Csongrád,HU,2015-01-04 01:00:00+00:00,pm25,11.82772,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
56,HU0057A,Csongrád,HU,2015-01-04 02:00:00+00:00,pm25,12.34719,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
57,HU0057A,Csongrád,HU,2015-01-04 03:00:00+00:00,pm25,13.98991,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
58,HU0057A,Csongrád,HU,2015-01-04 04:00:00+00:00,pm25,14.30865,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
59,HU0057A,Csongrád,HU,2015-01-04 05:00:00+00:00,pm25,11.1475,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
60,HU0057A,Csongrád,HU,2015-01-04 07:00:00+00:00,pm25,8.341604,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
61,HU0057A,Csongrád,HU,2015-01-04 08:00:00+00:00,pm25,7.916186,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
62,HU0057A,Csongrád,HU,2015-01-04 09:00:00+00:00,pm25,10.924665,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
63,HU0057A,Csongrád,HU,2015-01-04 10:00:00+00:00,pm25,11.5084,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
64,HU0057A,Csongrád,HU,2015-01-04 11:00:00+00:00,pm25,10.638069999999999,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
65,HU0057A,Csongrád,HU,2015-01-04 13:00:00+00:00,pm25,10.919985,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
66,HU0057A,Csongrád,HU,2015-01-04 14:00:00+00:00,pm25,11.00745,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
67,HU0057A,Csongrád,HU,2015-01-04 15:00:00+00:00,pm25,13.40049,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
68,HU0057A,Csongrád,HU,2015-01-04 16:00:00+00:00,pm25,13.860079999999998,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
69,HU0057A,Csongrád,HU,2015-01-04 17:00:00+00:00,pm25,15.140775,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
70,HU0057A,Csongrád,HU,2015-01-04 19:00:00+00:00,pm25,15.436229999999998,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
71,HU0057A,Csongrád,HU,2015-01-04 20:00:00+00:00,pm25,15.44534,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
72,HU0057A,Csongrád,HU,2015-01-04 21:00:00+00:00,pm25,17.14582,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
73,HU0057A,Csongrád,HU,2015-01-04 22:00:00+00:00,pm25,17.4724,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
74,HU0057A,Csongrád,HU,2015-01-04 23:00:00+00:00,pm25,19.611829999999998,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
75,HU0057A,Csongrád,HU,2015-01-05 00:00:00+00:00,pm25,20.02271,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
76,HU0057A,Csongrád,HU,2015-01-05 01:00:00+00:00,pm25,19.859023999999998,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
77,HU0057A,Csongrád,HU,2015-01-05 02:00:00+00:00,pm25,19.82759,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
78,HU0057A,Csongrád,HU,2015-01-05 03:00:00+00:00,pm25,22.915689999999998,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
79,HU0057A,Csongrád,HU,2015-01-05 04:00:00+00:00,pm25,23.508770000000002,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
80,HU0057A,Csongrád,HU,2015-01-05 06:00:00+00:00,pm25,26.33291,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
81,HU0057A,Csongrád,HU,2015-01-05 08:00:00+00:00,pm25,26.778259999999996,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
82,HU0057A,Csongrád,HU,2015-01-05 11:00:00+00:00,pm25,26.918425,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
83,HU0057A,Csongrád,HU,2015-01-05 12:00:00+00:00,pm25,26.78058,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
84,HU0057A,Csongrád,HU,2015-01-05 13:00:00+00:00,pm25,27.230894,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
85,HU0057A,Csongrád,HU,2015-01-05 14:00:00+00:00,pm25,27.31767,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
86,HU0057A,Csongrád,HU,2015-01-05 15:00:00+00:00,pm25,23.75329,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
87,HU0057A,Csongrád,HU,2015-01-05 16:00:00+00:00,pm25,23.06874,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
88,HU0057A,Csongrád,HU,2015-01-05 17:00:00+00:00,pm25,25.189410000000002,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
89,HU0057A,Csongrád,HU,2015-01-05 18:00:00+00:00,pm25,25.59669,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
90,HU0057A,Csongrád,HU,2015-01-05 19:00:00+00:00,pm25,26.613934999999998,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
91,HU0057A,Csongrád,HU,2015-01-05 20:00:00+00:00,pm25,26.8093,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
92,HU0057A,Csongrád,HU,2015-01-05 21:00:00+00:00,pm25,27.615225,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
93,HU0057A,Csongrád,HU,2015-01-05 23:00:00+00:00,pm25,30.9096,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
94,HU0057A,Csongrád,HU,2015-01-06 00:00:00+00:00,pm25,31.51257,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
95,HU0057A,Csongrád,HU,2015-01-06 01:00:00+00:00,pm25,31.532365999999996,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
96,HU0057A,Csongrád,HU,2015-01-06 03:00:00+00:00,pm25,29.57671,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
97,HU0057A,Csongrád,HU,2015-01-06 04:00:00+00:00,pm25,29.20425,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
98,HU0057A,Csongrád,HU,2015-01-06 05:00:00+00:00,pm25,27.294415,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
99,HU0057A,Csongrád,HU,2015-01-06 06:00:00+00:00,pm25,26.92762,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
100,HU0057A,Csongrád,HU,2015-01-06 07:00:00+00:00,pm25,28.965429999999998,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
101,HU0057A,Csongrád,HU,2015-01-06 09:00:00+00:00,pm25,26.000410000000002,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
102,HU0057A,Csongrád,HU,2015-01-06 10:00:00+00:00,pm25,25.36242,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
103,HU0057A,Csongrád,HU,2015-01-06 12:00:00+00:00,pm25,27.21449,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
104,HU0057A,Csongrád,HU,2015-01-06 13:00:00+00:00,pm25,24.8692,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
