,location,city,country,utc,parameter,value,unit,latitude,longitude,attribution
0,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 09:15:00+00:00,pm25,11,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
1,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 09:45:00+00:00,pm25,11,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
2,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 11:00:00+00:00,pm25,16,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
3,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 11:30:00+00:00,pm25,18,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
4,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 13:00:00+00:00,pm25,19,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
5,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 13:30:00+00:00,pm25,13,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
6,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 13:45:00+00:00,pm25,13,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
7,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 14:00:00+00:00,pm25,13,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
8,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 14:15:00+00:00,pm25,12,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
9,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 14:30:00+00:00,pm25,12,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
10,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 14:45:00+00:00,pm25,12,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
11,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 15:15:00+00:00,pm25,12,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
12,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 15:30:00+00:00,pm25,12,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
13,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 15:45:00+00:00,pm25,12,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
14,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 16:00:00+00:00,pm25,12,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
15,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 16:15:00+00:00,pm25,10,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
16,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 16:30:00+00:00,pm25,10,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
17,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 16:45:00+00:00,pm25,10,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
18,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 17:00:00+00:00,pm25,10,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
19,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 17:15:00+00:00,pm25,16,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
20,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 17:30:00+00:00,pm25,16,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
21,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 17:45:00+00:00,pm25,16,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
22,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 18:00:00+00:00,pm25,16,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
23,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 18:30:00+00:00,pm25,12,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
24,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 18:45:00+00:00,pm25,12,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
25,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 19:00:00+00:00,pm25,12,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
26,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 19:15:00+00:00,pm25,10,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
27,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 19:30:00+00:00,pm25,10,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
28,"T T Nagar, Bhopal - MPPCB",Bhopal,IN,2016-09-23 20:00:00+00:00,pm25,10,µg/m³,23.233584,77.400574,"[{""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing"",""name"":""Central Pollution Control Board""}]"
