,location,city,country,utc,parameter,value,unit,latitude,longitude,attribution
0,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-10 16:00:00+00:00,pm25,16,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
1,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-10 17:00:00+00:00,pm25,27,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
2,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-10 18:00:00+00:00,pm25,44,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
3,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-10 19:00:00+00:00,pm25,63,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
4,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-10 20:00:00+00:00,pm25,74,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
5,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-10 21:00:00+00:00,pm25,71,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
6,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-10 22:00:00+00:00,pm25,280,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
7,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-10 23:00:00+00:00,pm25,199,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
8,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-11 00:00:00+00:00,pm25,173,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
9,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-11 01:00:00+00:00,pm25,191,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
10,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-11 02:00:00+00:00,pm25,168,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
11,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-11 03:00:00+00:00,pm25,131,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
12,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-11 04:00:00+00:00,pm25,66,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
13,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-11 05:00:00+00:00,pm25,53,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
14,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-11 06:00:00+00:00,pm25,37,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
15,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-11 07:00:00+00:00,pm25,21,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
16,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-11 08:00:00+00:00,pm25,15,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
17,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-11 09:00:00+00:00,pm25,21,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
18,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-11 10:00:00+00:00,pm25,16,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
19,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-11 11:00:00+00:00,pm25,17,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
20,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-11 12:00:00+00:00,pm25,11,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
21,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-11 13:00:00+00:00,pm25,10,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
22,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-11 14:00:00+00:00,pm25,13,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
23,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-11 15:00:00+00:00,pm25,17,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
24,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-11 16:00:00+00:00,pm25,16,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
25,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-11 17:00:00+00:00,pm25,30,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
26,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-11 18:00:00+00:00,pm25,49,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
27,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-11 19:00:00+00:00,pm25,57,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
28,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-11 20:00:00+00:00,pm25,65,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
29,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-11 21:00:00+00:00,pm25,72,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
30,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-11 22:00:00+00:00,pm25,65,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
31,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-11 23:00:00+00:00,pm25,90,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
32,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-12 00:00:00+00:00,pm25,88,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
33,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-12 01:00:00+00:00,pm25,77,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
34,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-12 02:00:00+00:00,pm25,91,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
35,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-12 03:00:00+00:00,pm25,80,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
36,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-12 04:00:00+00:00,pm25,61,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
37,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-12 05:00:00+00:00,pm25,63,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
38,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-12 06:00:00+00:00,pm25,57,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
39,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-12 07:00:00+00:00,pm25,37,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
40,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-12 08:00:00+00:00,pm25,26,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
41,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-12 09:00:00+00:00,pm25,27,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
42,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-12 10:00:00+00:00,pm25,30,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
43,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-12 11:00:00+00:00,pm25,24,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
44,US Diplomatic Post: Baghdad,Baghdad,IQ,2016-03-12 12:00:00+00:00,pm25,25,µg/m³,33.298722,44.395917,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
