,location,city,country,utc,parameter,value,unit,latitude,longitude,attribution
0,US Diplomatic Post: Kuwait City,Kuwait City,KW,2015-01-01 04:00:00+00:00,pm25,72,µg/m³,29.292315999999996,48.04768,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
1,US Diplomatic Post: Kuwait City,Kuwait City,KW,2015-01-01 07:00:00+00:00,pm25,47,µg/m³,29.292315999999996,48.04768,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
2,US Diplomatic Post: Kuwait City,Kuwait City,KW,2015-01-01 08:00:00+00:00,pm25,70,µg/m³,29.292315999999996,48.04768,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
3,US Diplomatic Post: Kuwait City,Kuwait City,KW,2015-01-01 09:00:00+00:00,pm25,53,µg/m³,29.292315999999996,48.04768,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
4,US Diplomatic Post: Kuwait City,Kuwait City,KW,2015-01-01 10:00:00+00:00,pm25,53,µg/m³,29.292315999999996,48.04768,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
5,US Diplomatic Post: Kuwait City,Kuwait City,KW,2015-01-01 11:00:00+00:00,pm25,48,µg/m³,29.292315999999996,48.04768,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
6,US Diplomatic Post: Kuwait City,Kuwait City,KW,2015-01-01 12:00:00+00:00,pm25,44,µg/m³,29.292315999999996,48.04768,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
7,US Diplomatic Post: Kuwait City,Kuwait City,KW,2015-01-01 13:00:00+00:00,pm25,40,µg/m³,29.292315999999996,48.04768,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
8,US Diplomatic Post: Kuwait City,Kuwait City,KW,2015-01-01 14:00:00+00:00,pm25,45,µg/m³,29.292315999999996,48.04768,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
9,US Diplomatic Post: Kuwait City,Kuwait City,KW,2015-01-01 15:00:00+00:00,pm25,41,µg/m³,29.292315999999996,48.04768,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
10,US Diplomatic Post: Kuwait City,Kuwait City,KW,2015-01-01 16:00:00+00:00,pm25,38,µg/m³,29.292315999999996,48.04768,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
11,US Diplomatic Post: Kuwait City,Kuwait City,KW,2015-01-01 17:00:00+00:00,pm25,34,µg/m³,29.292315999999996,48.04768,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
12,US Diplomatic Post: Kuwait City,Kuwait City,KW,2015-01-01 18:00:00+00:00,pm25,44,µg/m³,29.292315999999996,48.04768,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
13,US Diplomatic Post: Kuwait City,Kuwait City,KW,2015-01-01 19:00:00+00:00,pm25,50,µg/m³,29.292315999999996,48.04768,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
