,location,city,country,utc,parameter,value,unit,latitude,longitude,attribution
0,E6 Alna senter,Oslo,NO,2015-05-25 08:00:00+00:00,pm25,12.862368,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
1,E6 Alna senter,Oslo,NO,2015-05-25 09:00:00+00:00,pm25,10.699185,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
2,E6 Alna senter,Oslo,NO,2015-05-25 10:00:00+00:00,pm25,8.573343,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
3,E6 Alna senter,Oslo,NO,2015-05-25 12:00:00+00:00,pm25,8.314203,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
4,E6 Alna senter,Oslo,NO,2015-05-25 13:00:00+00:00,pm25,7.369295599999999,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
5,E6 Alna senter,Oslo,NO,2015-05-25 14:00:00+00:00,pm25,7.5404496,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
6,E6 Alna senter,Oslo,NO,2015-05-25 15:00:00+00:00,pm25,7.655083,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
7,E6 Alna senter,Oslo,NO,2015-05-25 16:00:00+00:00,pm25,7.642083,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
8,E6 Alna senter,Oslo,NO,2015-05-25 17:00:00+00:00,pm25,7.8117776,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
9,E6 Alna senter,Oslo,NO,2015-05-25 18:00:00+00:00,pm25,9.106334,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
10,E6 Alna senter,Oslo,NO,2015-05-25 19:00:00+00:00,pm25,11.710889,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
11,E6 Alna senter,Oslo,NO,2015-05-25 20:00:00+00:00,pm25,13.76375,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
12,E6 Alna senter,Oslo,NO,2015-05-25 21:00:00+00:00,pm25,16.51475,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
13,E6 Alna senter,Oslo,NO,2015-05-25 23:00:00+00:00,pm25,9.006695,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
