,location,city,country,utc,parameter,value,unit,latitude,longitude,attribution
0,US Diplomatic Post: Karachi,Karachi,PK,2016-05-22 22:00:00+00:00,pm25,40.9,µg/m³,24.8415,67.0091,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
1,US Diplomatic Post: Karachi,Karachi,PK,2016-05-22 23:00:00+00:00,pm25,39.9,µg/m³,24.8415,67.0091,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
2,US Diplomatic Post: Karachi,Karachi,PK,2016-05-23 00:00:00+00:00,pm25,39.0,µg/m³,24.8415,67.0091,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
3,US Diplomatic Post: Karachi,Karachi,PK,2016-05-23 01:00:00+00:00,pm25,39.9,µg/m³,24.8415,67.0091,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
4,US Diplomatic Post: Karachi,Karachi,PK,2016-05-23 02:00:00+00:00,pm25,39.1,µg/m³,24.8415,67.0091,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
5,US Diplomatic Post: Karachi,Karachi,PK,2016-05-23 03:00:00+00:00,pm25,43.8,µg/m³,24.8415,67.0091,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
6,US Diplomatic Post: Karachi,Karachi,PK,2016-05-23 04:00:00+00:00,pm25,40.0,µg/m³,24.8415,67.0091,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
7,US Diplomatic Post: Karachi,Karachi,PK,2016-05-23 05:00:00+00:00,pm25,40.7,µg/m³,24.8415,67.0091,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
8,US Diplomatic Post: Karachi,Karachi,PK,2016-05-23 06:00:00+00:00,pm25,32.9,µg/m³,24.8415,67.0091,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
9,US Diplomatic Post: Karachi,Karachi,PK,2016-05-23 07:00:00+00:00,pm25,31.0,µg/m³,24.8415,67.0091,"[{""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary"",""name"":""EPA AirNow DOS""}]"
