Country,Latitude,Longitude
Bangladesh,23.684994,90.356331
Bahrain,25.930414,50.637772
Canada,56.130366,-106.346771
Guatemala,15.783471,-90.230759
Hong Kong,22.396428,114.109497
Hungary,47.162494,19.503304
India,20.593684,78.96288
Indonesia,-0.789275,113.921327
Iraq,33.223191,43.679291
Kuwait,29.31166,47.481766
Luxembourg,49.815273,6.129583
Mongolia,46.862496,103.846656
Nepal,28.394857,84.124008
Norway,60.472024,8.468946
Pakistan,30.375321,69.345116
Peru,-9.189967,-75.015152
Sri Lanka,7.873054,80.771797
Uganda,1.373333,32.290275
Vietnam,14.058324,108.277199
