"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2008-01",102.0953,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2008-02",101.9719,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2008-03",101.7965,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2008-04",101.4554,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2008-05",100.9977,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2008-06",100.5426,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2008-07",100.0694,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2008-08",99.60181,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2008-09",98.88686,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2008-10",97.79041,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2008-11",96.52464,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2008-12",95.44488,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2009-01",94.9254,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2009-02",94.67026,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2009-03",94.66595,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2009-04",94.98526,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2009-05",95.41259,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2009-06",95.79243,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2009-07",96.14362,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2009-08",96.62245,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2009-09",97.22568,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2009-10",97.72677,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2009-11",98.15579,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2009-12",98.49689,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2010-01",98.67437,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2010-02",98.84346,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2010-03",99.19473,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2010-04",99.44204,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2010-05",99.48215,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2010-06",99.50839,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2010-07",99.79007,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2010-08",100.231,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2010-09",100.7018,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2010-10",101.0316,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2010-11",101.2961,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2010-12",101.7399,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2011-01",102.1693,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2011-02",102.411,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2011-03",102.5145,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2011-04",102.348,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2011-05",102.0725,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2011-06",101.7849,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2011-07",101.3059,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2011-08",100.7023,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2011-09",100.1885,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2011-10",99.88179,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2011-11",99.73838,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2011-12",99.60741,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2012-01",99.48267,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2012-02",99.52526,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2012-03",99.50246,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2012-04",99.35875,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2012-05",99.18458,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2012-06",98.99898,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2012-07",98.8696,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2012-08",98.75537,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2012-09",98.61779,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2012-10",98.42685,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2012-11",98.51527,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2012-12",98.65024,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2013-01",98.75729,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2013-02",98.80344,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2013-03",98.65392,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2013-04",98.49546,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2013-05",98.62476,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2013-06",98.90294,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2013-07",99.20389,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2013-08",99.44295,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2013-09",99.6189,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2013-10",99.82768,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2013-11",99.97807,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2013-12",100.1605,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2014-01",100.2803,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2014-02",100.2539,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2014-03",100.1962,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2014-04",100.104,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2014-05",99.85951,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2014-06",99.61133,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2014-07",99.51351,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2014-08",99.54058,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2014-09",99.7297,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2014-10",99.97311,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2014-11",100.0817,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2014-12",100.0652,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2015-01",100.1135,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2015-02",100.1986,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2015-03",100.2422,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2015-04",100.2477,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2015-05",100.2563,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2015-06",100.3059,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2015-07",100.4037,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2015-08",100.4952,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2015-09",100.5649,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2015-10",100.6166,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2015-11",100.6043,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2015-12",100.7592,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2016-01",100.9705,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2016-02",101.0992,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2016-03",101.0204,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2016-04",100.8548,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2016-05",100.651,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2016-06",100.4423,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2016-07",100.2886,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2016-08",100.304,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2016-09",100.4499,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2016-10",100.5915,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2016-11",100.713,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2016-12",100.8306,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2017-01",100.9244,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2017-02",101.0198,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2017-03",101.0938,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2017-04",101.3221,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2017-05",101.5907,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2017-06",101.772,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2017-07",101.8903,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2017-08",102.0487,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2017-09",102.2018,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2017-10",102.2329,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2017-11",102.2515,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2017-12",102.2915,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2018-01",102.2749,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2018-02",102.152,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2018-03",102.0625,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2018-04",102.1336,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2018-05",102.2264,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2018-06",102.2983,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2018-07",102.1832,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2018-08",101.9357,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2018-09",101.6203,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2018-10",101.379,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2018-11",101.2593,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2018-12",101.0397,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2019-01",100.7657,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2019-02",100.5171,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2019-03",100.3935,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2019-04",100.3481,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2019-05",100.473,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2019-06",100.4499,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2019-07",100.3631,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2019-08",100.3074,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2019-09",100.2049,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2019-10",100.1847,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2019-11",100.2346,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2019-12",100.3115,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2020-01",100.3459,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2020-02",99.85773,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2020-03",98.58983,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2020-04",97.05054,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2020-05",96.98725,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2020-06",97.83531,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2020-07",98.73087,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2020-08",99.26929,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2020-09",99.2595,
"FRA","BCI","AMPLITUD","LTRENDIDX","M","2020-10",98.96166,
"HUN","BCI","AMPLITUD","LTRENDIDX","M","2008-01",99.64938,
"HUN","BCI","AMPLITUD","LTRENDIDX","M","2008-02",99.49992,
"HUN","BCI","AMPLITUD","LTRENDIDX","M","2008-03",99.41425,
"HUN","BCI","AMPLITUD","LTRENDIDX","M","2008-04",99.38447,
"HUN","BCI","AMPLITUD","LTRENDIDX","M","2008-05",99.53663,
