"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-05",99.09957,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-06",99.05491,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-07",99.0499,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-08",99.22832,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-09",99.48163,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-10",99.67953,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-11",99.82561,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-12",99.83019,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-01",99.71487,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-02",99.4034,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-03",99.15836,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-04",99.16231,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-05",99.32471,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-06",99.33631,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-07",99.32478,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-08",99.37563,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-09",99.54375,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-10",99.74423,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-11",99.96387,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-12",100.0607,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-01",100.012,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-02",99.93371,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-03",99.98383,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-04",100.2649,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-05",100.7449,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-06",101.2389,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-07",101.2508,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-08",100.9687,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-09",100.7272,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-10",100.735,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-11",100.965,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.0891,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-01",100.9773,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-02",100.7208,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-03",100.5094,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-04",100.275,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-05",100.0485,
