"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2005-01",100.5932,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2005-02",100.6443,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2005-03",100.681,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2005-04",100.703,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2005-05",100.7315,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2005-06",100.7888,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2005-07",100.8869,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2005-08",101.0024,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2005-09",101.1127,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2005-10",101.2099,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2005-11",101.2945,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2005-12",101.3734,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2006-01",101.4351,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2006-02",101.4675,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2006-03",101.4854,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2006-04",101.4865,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2006-05",101.4816,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2006-06",101.4807,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2006-07",101.4939,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2006-08",101.524,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2006-09",101.5801,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2006-10",101.6794,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2006-11",101.8033,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2006-12",101.9206,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2007-01",102.0185,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2007-02",102.0983,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2007-03",102.1717,
"NOR","CLI","AMPLITUD","LTRENDIDX","M","2007-04",102.2433,
