,Country,Year,Corruption,ForestArea,PopDense,Renewables,AFF,CO2,EnergyCons,BirthRate,Lexpectancy,DrinkingWater,Sanitation,PopTotal,ForeignInvest,Labor,EmployRatio,Trade,Vulnerable,AirFreight,Aquaculture,Temp,Rainfall,Label,PM2.5
0,Bahrain,2000,0.380999088,0.521126747,936.0718384,0,0.268763512,28.31587791,11988.77539,21.72200012,74.44000244,99.89794159,99.85440063,664611,2.902019739,280118,64.9240036,135.809021,1.597000003,208.8009949,12,28.36362457,7.699572563,High,45
1,Bahrain,2001,0.601089478,0.549295783,982.4577637,0,0.268763512,20.21319771,11738.21289,21.16600037,74.63500214,99.90803528,99.86791992,697545,6.853000164,291227,64.96399689,127.0261154,1.589000106,233.9279938,0,28.61989212,7.184089184,High,13
2,Bahrain,2002,0.820578575,0.563380301,1035.41687,0,0.268763512,21.61354446,11548.58105,20.5909996,74.8219986,99.91812897,99.88143921,735146,4.011541843,305448,65.23600006,130.6075287,2.286999941,244.1150055,3,27.92240906,5.775375843,High,121
3,Bahrain,2003,0.399893194,0.583333313,1081.53894,0,0.268763512,21.57701492,11566.54492,19.99600029,74.99900055,99.92822266,99.8949585,778708,0.89524287,325858,65.87400055,128.0914917,2.229000092,341.2319946,4,28.20116615,2.262286663,High,108
4,Bahrain,2004,0.451451093,0.589041114,1136.772583,0,0.268763512,21.63494873,10895.01563,19.38500023,75.16699982,99.93831635,99.90847778,829844,2.252734423,349795,66.7539978,140.7372284,2.052000046,416.5140076,8,28.03978348,6.671758175,High,248
5,Bahrain,2005,0.390058488,0.608108103,1201.572998,0,0.268763512,22.35673904,11675.45898,18.77799988,75.3259964,99.94841003,99.92199707,889164,4.665540218,378726,67.73899841,148.3134918,2.166000128,446.125946,3,28.08279991,6.123040199,High,122
6,Bahrain,2006,0.194029897,0.621621609,1295.159424,0,0.268763512,20.33953094,11604.20117,18.20299911,75.47799683,99.95850372,99.93551636,958418,6.580206394,413257,68.16699982,147.1018524,2.180000067,475.6569824,2,27.93515778,6.802101612,High,39
7,Bahrain,2007,0.180773601,0.639999986,1381.225342,0,0.292271703,25.9152565,11233.91797,17.68499947,75.625,99.96859741,99.94904327,1035919,6.56659317,453396,68.85399628,137.7850494,2.064999819,505.1880188,1,27.70097542,6.394962311,High,123
8,Bahrain,2008,0.188940004,0.644736826,1466.632935,0,0.264810234,26.70698929,11318.25781,17.23900032,75.76999664,99.9786911,99.96256256,1114641,15.75061607,501657,69.7009964,145.8826599,2.019000053,534.7190552,2,28.01723289,6.862077713,High,114
9,Bahrain,2009,0.185156599,0.671052635,1559.310547,0,0.337284356,23.81076431,10339.19043,16.86300087,75.91300201,99.98878479,99.97608185,1185076,8.082431793,556576,70.58599854,117.9637222,1.963999987,564.3309937,2,28.19650078,3.831151724,High,12
