location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
E6 Alna senter,Oslo,NO,2020-01-01T04:00:00Z,2020-01-01T05:00:00+01:00,pm25,2.085,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
E6 Alna senter,Oslo,NO,2020-01-01T03:00:00Z,2020-01-01T04:00:00+01:00,pm25,2.111877,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
E6 Alna senter,Oslo,NO,2020-01-01T02:00:00Z,2020-01-01T03:00:00+01:00,pm25,7.414034,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
E6 Alna senter,Oslo,NO,2020-01-01T01:00:00Z,2020-01-01T02:00:00+01:00,pm25,28.711832,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
E6 Alna senter,Oslo,NO,2020-01-01T00:00:00Z,2020-01-01T01:00:00+01:00,pm25,42.93667,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
E6 Alna senter,Oslo,NO,2019-12-31T23:00:00Z,2020-01-01T00:00:00+01:00,pm25,13.2545,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
E6 Alna senter,Oslo,NO,2019-12-31T22:00:00Z,2019-12-31T23:00:00+01:00,pm25,10.881,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
E6 Alna senter,Oslo,NO,2019-12-31T21:00:00Z,2019-12-31T22:00:00+01:00,pm25,14.271833,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
E6 Alna senter,Oslo,NO,2019-12-31T20:00:00Z,2019-12-31T21:00:00+01:00,pm25,23.857668,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
E6 Alna senter,Oslo,NO,2019-12-31T19:00:00Z,2019-12-31T20:00:00+01:00,pm25,26.441833,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
E6 Alna senter,Oslo,NO,2019-12-31T18:00:00Z,2019-12-31T19:00:00+01:00,pm25,24.584,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
E6 Alna senter,Oslo,NO,2019-12-31T17:00:00Z,2019-12-31T18:00:00+01:00,pm25,19.587667,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
E6 Alna senter,Oslo,NO,2019-12-31T16:00:00Z,2019-12-31T17:00:00+01:00,pm25,16.995,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
E6 Alna senter,Oslo,NO,2019-12-31T15:00:00Z,2019-12-31T16:00:00+01:00,pm25,13.230167,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
E6 Alna senter,Oslo,NO,2019-12-31T14:00:00Z,2019-12-31T15:00:00+01:00,pm25,17.304667,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
E6 Alna senter,Oslo,NO,2019-12-31T13:00:00Z,2019-12-31T14:00:00+01:00,pm25,17.811167,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
E6 Alna senter,Oslo,NO,2019-12-31T12:00:00Z,2019-12-31T13:00:00+01:00,pm25,15.2675,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
E6 Alna senter,Oslo,NO,2019-12-31T11:00:00Z,2019-12-31T12:00:00+01:00,pm25,10.882,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
E6 Alna senter,Oslo,NO,2019-12-31T10:00:00Z,2019-12-31T11:00:00+01:00,pm25,9.225167,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
E6 Alna senter,Oslo,NO,2019-12-31T09:00:00Z,2019-12-31T10:00:00+01:00,pm25,7.514833,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
E6 Alna senter,Oslo,NO,2019-12-31T08:00:00Z,2019-12-31T09:00:00+01:00,pm25,6.1205,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
E6 Alna senter,Oslo,NO,2019-12-31T07:00:00Z,2019-12-31T08:00:00+01:00,pm25,3.473667,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
E6 Alna senter,Oslo,NO,2019-12-31T06:00:00Z,2019-12-31T07:00:00+01:00,pm25,2.833333,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
E6 Alna senter,Oslo,NO,2019-12-31T05:00:00Z,2019-12-31T06:00:00+01:00,pm25,3.734,µg/m³,59.92556,10.850367,"[{""url"":""http://www.luftkvalitet.info/home.aspx"",""name"":""Luftkvalitet.info""}]"
