,Avg
0,7.519023333333334
1,6.98224
2,9.131860833333333
3,2.8559591666666666
4,9.599289166666667
5,9.322910000000002
6,8.636845
7,7.699572500000001
8,7.1840891666666655
9,5.7753758333333325
10,2.262286666666667
11,6.671758333333334
12,6.1230400000000005
13,6.802101666666666
14,6.394962500000001
15,6.862077500000001
16,3.8311516666666674
17,3.3380475
18,8.785218333333335
19,2.4030291666666668
20,4.915452500000001
21,4.253380833333334
22,3.2892500000000005
23,7.809196666666668
24,4.241576666666667
25,1.5378633333333338
