,Avg
0,224.4579666666667
1,148.71151833333337
2,222.15741666666668
3,151.61056166666665
4,200.84121750000006
5,185.96479249999996
6,190.7071125
7,218.1898758333333
8,216.86460749999995
9,202.15982416666665
10,187.33799999999997
11,210.9921775
12,197.75744916666665
13,181.69693416666664
14,159.82059166666667
15,173.3806583333333
16,258.30781166666674
17,180.38769750000003
18,173.07676666666669
19,195.67889250000005
20,233.17473416666667
21,177.42829500000002
22,180.08905499999995
23,160.28117500000002
24,212.00023250000004
25,176.86144333333334
