,Avg
0,193.30245000000002
1,205.40498333333332
2,223.95994166666662
3,182.0608
4,255.07203333333334
5,216.90265
6,218.30048333333332
7,238.92746666666667
8,230.56498333333332
9,211.9188333333333
10,219.93735833333335
11,210.27282499999998
12,182.20499999999996
13,202.60718333333332
14,242.41561249999998
15,247.17875
16,209.76048333333327
17,229.9645166666667
18,194.37655833333335
19,257.97855833333335
20,246.25323333333333
21,195.51105833333335
22,287.0821333333334
23,218.58350833333336
24,196.73504166666666
25,207.36083333333332
