,Avg
0,53.5334
1,43.500085000000006
2,45.150958333333335
3,47.308699999999995
4,57.54528916666667
5,54.40205
6,43.96646666666667
7,58.1150625
8,61.58055833333333
9,37.927416666666666
10,50.99019166666667
11,50.63675166666667
12,39.51338166666667
13,57.65517499999999
14,59.91678166666666
15,50.43423333333334
16,54.03330583333334
17,52.12674833333333
18,54.062099999999994
19,74.85009166666667
20,36.712113333333335
21,44.238528333333335
22,52.42360666666667
23,63.0632
24,48.71182583333334
25,63.07420916666666
