,Avg
0,204.4298166666667
1,224.89641666666668
2,215.33683333333332
3,213.03190833333335
4,256.05333333333334
5,246.87525000000002
6,180.24232499999997
7,255.30708333333334
8,258.66025
9,260.12925
10,248.72591666666668
11,220.5956666666667
12,252.62250000000003
13,224.61840000000004
14,238.43566666666666
15,220.28866666666667
16,253.56124999999994
17,262.4419166666667
18,243.38866666666664
19,298.38983333333334
20,255.94466666666665
21,253.41324999999998
22,255.35766666666666
23,219.86108333333334
24,204.55328333333333
25,261.52666666666664
