,Avg
0,16.846592499999996
1,17.66103083333333
2,19.142363333333332
3,19.694777499999997
4,10.9756725
5,19.548418333333334
6,16.081010000000003
7,12.948950833333335
8,11.374518333333334
9,13.2744875
10,14.07382
11,16.63038583333333
12,16.831350833333335
13,15.884353333333335
14,13.917721666666667
15,17.861672499999997
16,12.632105833333334
17,9.016104166666667
18,13.171515
19,11.352593333333333
20,13.989669166666665
21,13.6849725
22,15.454215
23,12.89043
24,11.211963333333332
25,16.404503333333334
