,Avg
0,12.464934999999999
1,10.066153333333334
2,12.900985
3,10.9963775
4,11.359607500000001
5,13.150599999999997
6,13.238575000000003
7,8.588434166666666
8,13.311875
9,8.173170833333335
10,10.190249166666668
11,11.206108333333333
12,10.6825775
13,13.203395833333333
14,12.885930833333333
15,11.207838333333333
16,8.427208333333333
17,4.430550833333334
18,7.664022499999999
19,4.231159166666666
20,6.938776666666667
21,8.647331666666666
22,6.2343975
23,7.742439999999999
24,7.486699166666667
25,9.997615833333334
