,Avg
0,63.58236666666665
1,76.99226666666667
2,84.77818333333333
3,77.72427499999999
4,82.31101666666667
5,57.970075
6,75.46130833333332
7,86.67055833333332
8,85.69049166666667
9,93.40814166666667
10,97.78311666666666
11,91.16778333333333
12,63.68936666666667
13,75.32325
14,68.22818333333333
15,77.87298333333332
16,88.7643225
17,83.12602500000001
18,79.63444166666666
19,81.40714166666667
20,66.61635416666665
21,83.834775
22,79.95925833333332
23,77.15124166666665
24,67.73508333333335
25,79.330975
