,Avg
0,96.46669083333332
1,83.47361583333331
2,93.29880666666666
3,98.34894916666667
4,102.72408333333333
5,102.29660000000001
6,119.881785
7,125.70952916666668
8,128.26001416666668
9,122.8853391666667
10,114.22531249999997
11,110.69954666666668
12,112.22547083333332
13,108.23113583333333
14,84.47262166666668
15,97.77137333333333
16,99.51988166666668
17,111.2764075
18,86.28824249999998
19,101.10474
20,141.63166833333335
21,111.46079916666667
22,114.40606749999999
23,44.1323825
24,111.06864666666665
25,115.35625499999998
