,Avg
0,24.050540833333333
1,31.548378333333332
2,20.73338916666667
3,35.2729825
4,29.38667
5,28.554229166666662
6,30.677395833333332
7,25.0761675
8,21.135062500000004
9,15.983080000000001
10,19.488181666666662
11,17.455713333333335
12,32.173924166666666
13,21.4776975
14,26.974239999999995
15,30.47072916666667
16,26.539995833333336
17,28.102989166666664
18,23.55043333333333
19,32.0799
20,26.79003
21,22.835234166666666
22,29.1535375
23,22.957234999999997
24,33.140839166666666
25,23.913654999999995
