,Avg
0,107.09048333333334
1,110.34986666666667
2,137.416175
3,140.41964166666668
4,112.54535000000003
5,126.63498333333332
6,129.17138333333332
7,122.91203333333334
8,145.175625
9,139.44995
10,139.1631166666667
11,138.23553333333334
12,153.00241666666668
13,143.40281666666667
14,121.92246666666665
15,148.60204166666665
16,137.0969916666667
17,136.555175
18,135.11044166666667
19,110.97232500000001
20,134.743725
21,114.40041666666667
22,127.014875
23,124.4626
24,123.9507333333333
25,122.96505833333333
