,Avg
0,137.30925000000002
1,119.30611833333332
2,147.11687499999996
3,152.26176666666666
4,130.11564166666665
5,145.04332166666666
6,160.49769166666667
7,121.64920916666665
8,146.30707500000003
9,139.51292500000002
10,119.95719999999999
11,142.321675
12,134.37204166666666
13,159.31
14,138.5861
15,176.36321666666666
16,130.83573333333334
17,164.74652500000002
18,136.47425833333332
19,142.34088166666666
20,129.62674166666667
21,142.0134
22,121.92065000000001
23,153.2497
24,175.60130833333335
25,99.62023833333335
