,Avg
0,102.211225
1,93.21686666666666
2,88.51224166666667
3,108.54725
4,100.97230833333333
5,109.43114999999999
6,108.07957499999998
7,100.7505
8,104.54126666666666
9,94.85382499999999
10,102.16439166666669
11,104.37958333333334
12,98.03860833333334
13,93.84854166666666
14,74.79375
15,112.3232
16,127.30890833333335
17,102.62918333333334
18,99.22845833333334
19,118.71615833333333
20,110.52984166666668
21,124.86779166666666
22,134.81601666666668
23,99.98270833333333
24,114.59278333333332
25,114.57165000000002
