,Avg
0,26.842266666666664
1,26.150366666666667
2,27.092149999999993
3,27.61276666666667
4,27.15315
5,27.68728333333333
6,27.068766666666665
7,28.363625
8,28.619891666666664
9,27.922408333333333
10,28.201166666666666
11,28.039783333333332
12,28.082800000000002
13,27.93515833333333
14,27.700975000000003
15,28.017233333333326
16,28.196499999999997
17,28.00100833333333
18,28.32619166666667
19,28.919108333333337
20,28.125
21,28.296791666666664
22,27.852091666666666
23,28.246724999999998
24,28.731966666666665
25,28.5921
