,Avg
0,24.913449999999997
1,24.757191666666667
2,24.74823333333333
3,25.093900000000005
4,25.406241666666663
5,25.312675000000002
6,24.848466666666663
7,25.531499999999998
8,25.741933333333336
9,24.885791666666666
10,25.637283333333333
11,25.41999166666667
12,25.375425000000003
13,25.457250000000002
14,25.627658333333333
15,25.997574999999998
16,25.634858333333327
17,25.504841666666668
18,26.22205
19,26.11276666666667
20,25.46449166666667
21,24.978774999999995
22,24.89361666666667
23,24.86855833333333
24,24.885941666666664
25,25.35675
