,Avg
0,-6.548698333333334
1,-7.095869166666667
2,-6.439831666666667
3,-6.416501666666666
4,-6.272844999999999
5,-7.017297499999999
6,-6.323374999999999
7,-4.6594175
8,-5.460449166666668
9,-6.2110125
10,-5.404357500000001
11,-6.4187683333333325
12,-5.9090050000000005
13,-7.0771283333333335
14,-5.349289166666668
15,-4.633815
16,-6.174463333333333
17,-6.482341666666666
18,-6.266198333333333
19,-4.1866466666666655
20,-5.709931666666665
21,-5.398873333333333
22,-6.464960000000001
23,-6.220375833333333
24,-5.953935833333333
25,-4.965330833333334
