,Avg
0,10.754585
1,11.105659166666667
2,10.771772499999999
3,11.977424166666667
4,11.586616666666664
5,10.5934775
6,11.849255833333332
7,11.312666666666667
8,11.720350000000002
9,11.888568333333334
10,11.417185833333333
11,11.867035000000001
12,11.898767499999998
13,11.3837125
14,11.350787500000001
15,11.915509166666668
16,11.643284166666668
17,11.337159166666668
18,11.695545000000001
19,10.625238333333334
20,12.323240833333335
21,11.5415175
22,11.084975
23,12.500744166666665
24,12.164351666666667
25,11.765049166666664
