Temperature - (Celsius), Year, Statistics, Country, ISO3
-0.2351, 1991, Jan Average, Hungary, HUN
-2.6255, 1991, Feb Average, Hungary, HUN
7.41375, 1991, Mar Average, Hungary, HUN
9.11181, 1991, Apr Average, Hungary, HUN
12.316, 1991, May Average, Hungary, HUN
18.4426, 1991, Jun Average, Hungary, HUN
21.5689, 1991, Jul Average, Hungary, HUN
19.8978, 1991, Aug Average, Hungary, HUN
16.9204, 1991, Sep Average, Hungary, HUN
9.6357, 1991, Oct Average, Hungary, HUN
5.50397, 1991, Nov Average, Hungary, HUN
-2.3613, 1991, Dec Average, Hungary, HUN
-0.358, 1992, Jan Average, Hungary, HUN
2.41395, 1992, Feb Average, Hungary, HUN
5.82584, 1992, Mar Average, Hungary, HUN
11.2599, 1992, Apr Average, Hungary, HUN
15.741, 1992, May Average, Hungary, HUN
19.4421, 1992, Jun Average, Hungary, HUN
21.3085, 1992, Jul Average, Hungary, HUN
23.4025, 1992, Aug Average, Hungary, HUN
16.2589, 1992, Sep Average, Hungary, HUN
9.95531, 1992, Oct Average, Hungary, HUN
5.7147, 1992, Nov Average, Hungary, HUN
-0.4932, 1992, Dec Average, Hungary, HUN
-0.4558, 1993, Jan Average, Hungary, HUN
-1.6701, 1993, Feb Average, Hungary, HUN
3.97822, 1993, Mar Average, Hungary, HUN
10.7472, 1993, Apr Average, Hungary, HUN
18.1333, 1993, May Average, Hungary, HUN
19.1587, 1993, Jun Average, Hungary, HUN
19.6413, 1993, Jul Average, Hungary, HUN
20.8094, 1993, Aug Average, Hungary, HUN
15.4843, 1993, Sep Average, Hungary, HUN
11.9644, 1993, Oct Average, Hungary, HUN
1.7109, 1993, Nov Average, Hungary, HUN
2.21105, 1993, Dec Average, Hungary, HUN
2.53182, 1994, Jan Average, Hungary, HUN
1.47437, 1994, Feb Average, Hungary, HUN
8.23434, 1994, Mar Average, Hungary, HUN
11.0386, 1994, Apr Average, Hungary, HUN
15.4255, 1994, May Average, Hungary, HUN
19.1541, 1994, Jun Average, Hungary, HUN
23.0848, 1994, Jul Average, Hungary, HUN
21.8025, 1994, Aug Average, Hungary, HUN
18.8667, 1994, Sep Average, Hungary, HUN
9.42518, 1994, Oct Average, Hungary, HUN
5.96747, 1994, Nov Average, Hungary, HUN
1.1817, 1994, Dec Average, Hungary, HUN
-1.1825, 1995, Jan Average, Hungary, HUN
5.02989, 1995, Feb Average, Hungary, HUN
5.13946, 1995, Mar Average, Hungary, HUN
10.6564, 1995, Apr Average, Hungary, HUN
14.8765, 1995, May Average, Hungary, HUN
18.0822, 1995, Jun Average, Hungary, HUN
22.9348, 1995, Jul Average, Hungary, HUN
19.925, 1995, Aug Average, Hungary, HUN
14.8615, 1995, Sep Average, Hungary, HUN
11.934, 1995, Oct Average, Hungary, HUN
2.41766, 1995, Nov Average, Hungary, HUN
-0.2449, 1995, Dec Average, Hungary, HUN
-2.3716, 1996, Jan Average, Hungary, HUN
-2.718, 1996, Feb Average, Hungary, HUN
1.82745, 1996, Mar Average, Hungary, HUN
11.1293, 1996, Apr Average, Hungary, HUN
16.9843, 1996, May Average, Hungary, HUN
19.702, 1996, Jun Average, Hungary, HUN
18.9542, 1996, Jul Average, Hungary, HUN
19.9773, 1996, Aug Average, Hungary, HUN
12.8086, 1996, Sep Average, Hungary, HUN
11.2629, 1996, Oct Average, Hungary, HUN
7.55542, 1996, Nov Average, Hungary, HUN
-1.912, 1996, Dec Average, Hungary, HUN
-2.4032, 1997, Jan Average, Hungary, HUN
2.2038, 1997, Feb Average, Hungary, HUN
5.35228, 1997, Mar Average, Hungary, HUN
7.42845, 1997, Apr Average, Hungary, HUN
16.2568, 1997, May Average, Hungary, HUN
19.1891, 1997, Jun Average, Hungary, HUN
19.3596, 1997, Jul Average, Hungary, HUN
20.4797, 1997, Aug Average, Hungary, HUN
15.9549, 1997, Sep Average, Hungary, HUN
8.52923, 1997, Oct Average, Hungary, HUN
5.77243, 1997, Nov Average, Hungary, HUN
2.01897, 1997, Dec Average, Hungary, HUN
2.00459, 1998, Jan Average, Hungary, HUN
4.77705, 1998, Feb Average, Hungary, HUN
4.27632, 1998, Mar Average, Hungary, HUN
12.0142, 1998, Apr Average, Hungary, HUN
15.2657, 1998, May Average, Hungary, HUN
20.0492, 1998, Jun Average, Hungary, HUN
20.7362, 1998, Jul Average, Hungary, HUN
20.8832, 1998, Aug Average, Hungary, HUN
15.381, 1998, Sep Average, Hungary, HUN
11.3951, 1998, Oct Average, Hungary, HUN
2.85776, 1998, Nov Average, Hungary, HUN
-3.6243, 1998, Dec Average, Hungary, HUN
-0.6079, 1999, Jan Average, Hungary, HUN
0.2267, 1999, Feb Average, Hungary, HUN
7.12555, 1999, Mar Average, Hungary, HUN
11.9676, 1999, Apr Average, Hungary, HUN
15.5492, 1999, May Average, Hungary, HUN
19.2926, 1999, Jun Average, Hungary, HUN
21.4249, 1999, Jul Average, Hungary, HUN
19.8767, 1999, Aug Average, Hungary, HUN
18.4631, 1999, Sep Average, Hungary, HUN
11.065, 1999, Oct Average, Hungary, HUN
3.36256, 1999, Nov Average, Hungary, HUN
0.11056, 1999, Dec Average, Hungary, HUN
-2.563, 2000, Jan Average, Hungary, HUN
3.17731, 2000, Feb Average, Hungary, HUN
5.87099, 2000, Mar Average, Hungary, HUN
13.8724, 2000, Apr Average, Hungary, HUN
17.5007, 2000, May Average, Hungary, HUN
20.4906, 2000, Jun Average, Hungary, HUN
19.5975, 2000, Jul Average, Hungary, HUN
22.4688, 2000, Aug Average, Hungary, HUN
15.7019, 2000, Sep Average, Hungary, HUN
13.4068, 2000, Oct Average, Hungary, HUN
8.53011, 2000, Nov Average, Hungary, HUN
2.25066, 2000, Dec Average, Hungary, HUN
0.72191, 2001, Jan Average, Hungary, HUN
2.83329, 2001, Feb Average, Hungary, HUN
7.83518, 2001, Mar Average, Hungary, HUN
10.4164, 2001, Apr Average, Hungary, HUN
17.3357, 2001, May Average, Hungary, HUN
17.6323, 2001, Jun Average, Hungary, HUN
21.1648, 2001, Jul Average, Hungary, HUN
22.0599, 2001, Aug Average, Hungary, HUN
14.4761, 2001, Sep Average, Hungary, HUN
13.5201, 2001, Oct Average, Hungary, HUN
3.15671, 2001, Nov Average, Hungary, HUN
-4.2246, 2001, Dec Average, Hungary, HUN
-0.8655, 2002, Jan Average, Hungary, HUN
4.98193, 2002, Feb Average, Hungary, HUN
7.69967, 2002, Mar Average, Hungary, HUN
10.7692, 2002, Apr Average, Hungary, HUN
18.2445, 2002, May Average, Hungary, HUN
20.5852, 2002, Jun Average, Hungary, HUN
22.3807, 2002, Jul Average, Hungary, HUN
20.9192, 2002, Aug Average, Hungary, HUN
15.4713, 2002, Sep Average, Hungary, HUN
10.3603, 2002, Oct Average, Hungary, HUN
7.49361, 2002, Nov Average, Hungary, HUN
-1.1289, 2002, Dec Average, Hungary, HUN
-2.3989, 2003, Jan Average, Hungary, HUN
-3.7774, 2003, Feb Average, Hungary, HUN
5.13631, 2003, Mar Average, Hungary, HUN
10.102, 2003, Apr Average, Hungary, HUN
19.0385, 2003, May Average, Hungary, HUN
21.3466, 2003, Jun Average, Hungary, HUN
21.7078, 2003, Jul Average, Hungary, HUN
23.2865, 2003, Aug Average, Hungary, HUN
16.2153, 2003, Sep Average, Hungary, HUN
8.51149, 2003, Oct Average, Hungary, HUN
7.00498, 2003, Nov Average, Hungary, HUN
0.50579, 2003, Dec Average, Hungary, HUN
-2.6443, 2004, Jan Average, Hungary, HUN
1.49791, 2004, Feb Average, Hungary, HUN
5.3509, 2004, Mar Average, Hungary, HUN
11.4992, 2004, Apr Average, Hungary, HUN
14.2378, 2004, May Average, Hungary, HUN
18.5281, 2004, Jun Average, Hungary, HUN
20.6158, 2004, Jul Average, Hungary, HUN
20.591, 2004, Aug Average, Hungary, HUN
15.6133, 2004, Sep Average, Hungary, HUN
12.273, 2004, Oct Average, Hungary, HUN
5.71526, 2004, Nov Average, Hungary, HUN
1.05863, 2004, Dec Average, Hungary, HUN
-0.3401, 2005, Jan Average, Hungary, HUN
-2.685, 2005, Feb Average, Hungary, HUN
3.5472, 2005, Mar Average, Hungary, HUN
11.2901, 2005, Apr Average, Hungary, HUN
16.2191, 2005, May Average, Hungary, HUN
18.7849, 2005, Jun Average, Hungary, HUN
20.7935, 2005, Jul Average, Hungary, HUN
19.198, 2005, Aug Average, Hungary, HUN
17.0014, 2005, Sep Average, Hungary, HUN
