,Avg
0,24.19633333333333
1,24.100233333333332
2,24.34423333333333
3,24.20856666666667
4,24.36113333333334
5,24.423491666666663
6,23.933891666666668
7,24.68058333333333
8,24.58385
9,24.47526666666667
10,24.631975
11,24.8639
12,24.615791666666667
13,24.702524999999998
14,24.457208333333337
15,24.7916
16,24.725025
17,24.514891666666667
18,25.239425000000008
19,25.173358333333336
20,24.57970833333333
21,24.52586666666667
22,24.382316666666664
23,24.492066666666663
24,24.61968333333333
25,25.039533333333335
