,Avg
0,26.079116666666668
1,26.104783333333334
2,26.053975000000005
3,26.07138333333334
4,26.12908333333333
5,26.129566666666665
6,26.236841666666663
7,26.698725
8,26.076941666666666
9,26.15225
10,26.256050000000002
11,26.41910833333333
12,26.256091666666663
13,26.237041666666666
14,26.296116666666666
15,26.116083333333332
16,26.137433333333334
17,26.005291666666665
18,26.318150000000003
19,26.426074999999997
20,26.166425
21,26.333358333333337
22,26.42721666666667
23,26.37901666666667
24,26.494816666666665
25,26.775833333333335
