,Avg
0,21.78281
1,20.395880833333333
2,21.367665
3,22.38137083333333
4,21.993469166666667
5,22.569631666666666
6,21.577731666666665
7,22.91602333333334
8,22.928833333333333
9,22.355205833333333
10,22.863808333333335
11,22.2373875
12,22.316308333333335
13,22.22899333333333
14,22.229708333333335
15,22.351704999999995
16,22.251595
17,22.411842499999995
18,22.3295375
19,23.85635833333333
20,21.8631
21,22.620770833333335
22,22.146989166666668
23,22.76655083333333
24,23.00519916666667
25,22.933791666666664
