Temperature - (Celsius), Year, Statistics, Country, ISO3
13.1253, 1991, Jan Average, Kuwait, KWT
14.3884, 1991, Feb Average, Kuwait, KWT
18.8373, 1991, Mar Average, Kuwait, KWT
25.9288, 1991, Apr Average, Kuwait, KWT
29.9945, 1991, May Average, Kuwait, KWT
34.5055, 1991, Jun Average, Kuwait, KWT
36.2042, 1991, Jul Average, Kuwait, KWT
35.7971, 1991, Aug Average, Kuwait, KWT
32.6256, 1991, Sep Average, Kuwait, KWT
27.1165, 1991, Oct Average, Kuwait, KWT
20.8894, 1991, Nov Average, Kuwait, KWT
15.2365, 1991, Dec Average, Kuwait, KWT
10.0419, 1992, Jan Average, Kuwait, KWT
13.0947, 1992, Feb Average, Kuwait, KWT
15.9525, 1992, Mar Average, Kuwait, KWT
23.7439, 1992, Apr Average, Kuwait, KWT
29.7277, 1992, May Average, Kuwait, KWT
34.8981, 1992, Jun Average, Kuwait, KWT
35.8926, 1992, Jul Average, Kuwait, KWT
35.9517, 1992, Aug Average, Kuwait, KWT
32.9716, 1992, Sep Average, Kuwait, KWT
26.3344, 1992, Oct Average, Kuwait, KWT
20.5287, 1992, Nov Average, Kuwait, KWT
13.9051, 1992, Dec Average, Kuwait, KWT
11.2446, 1993, Jan Average, Kuwait, KWT
14.4721, 1993, Feb Average, Kuwait, KWT
19.0694, 1993, Mar Average, Kuwait, KWT
24.0911, 1993, Apr Average, Kuwait, KWT
30.3283, 1993, May Average, Kuwait, KWT
34.7751, 1993, Jun Average, Kuwait, KWT
36.6821, 1993, Jul Average, Kuwait, KWT
36.2338, 1993, Aug Average, Kuwait, KWT
33.17, 1993, Sep Average, Kuwait, KWT
28.0072, 1993, Oct Average, Kuwait, KWT
20.0196, 1993, Nov Average, Kuwait, KWT
15.5715, 1993, Dec Average, Kuwait, KWT
15.0188, 1994, Jan Average, Kuwait, KWT
15.2382, 1994, Feb Average, Kuwait, KWT
19.5923, 1994, Mar Average, Kuwait, KWT
26.453, 1994, Apr Average, Kuwait, KWT
31.3772, 1994, May Average, Kuwait, KWT
35.2668, 1994, Jun Average, Kuwait, KWT
36.4666, 1994, Jul Average, Kuwait, KWT
36.0439, 1994, Aug Average, Kuwait, KWT
33.0379, 1994, Sep Average, Kuwait, KWT
28.105, 1994, Oct Average, Kuwait, KWT
21.6073, 1994, Nov Average, Kuwait, KWT
12.4033, 1994, Dec Average, Kuwait, KWT
13.7565, 1995, Jan Average, Kuwait, KWT
15.5228, 1995, Feb Average, Kuwait, KWT
19.1448, 1995, Mar Average, Kuwait, KWT
24.2738, 1995, Apr Average, Kuwait, KWT
31.2348, 1995, May Average, Kuwait, KWT
35.1264, 1995, Jun Average, Kuwait, KWT
36.4111, 1995, Jul Average, Kuwait, KWT
36.5823, 1995, Aug Average, Kuwait, KWT
32.5018, 1995, Sep Average, Kuwait, KWT
26.8472, 1995, Oct Average, Kuwait, KWT
19.6096, 1995, Nov Average, Kuwait, KWT
13.1269, 1995, Dec Average, Kuwait, KWT
12.9836, 1996, Jan Average, Kuwait, KWT
16.5122, 1996, Feb Average, Kuwait, KWT
19.2562, 1996, Mar Average, Kuwait, KWT
24.4288, 1996, Apr Average, Kuwait, KWT
32.2217, 1996, May Average, Kuwait, KWT
35.0624, 1996, Jun Average, Kuwait, KWT
37.3446, 1996, Jul Average, Kuwait, KWT
36.9406, 1996, Aug Average, Kuwait, KWT
