Temperature - (Celsius), Year, Statistics, Country, ISO3
1.7498, 1991, Jan Average, Luxembourg, LUX
-1.3817, 1991, Feb Average, Luxembourg, LUX
7.79348, 1991, Mar Average, Luxembourg, LUX
7.7769, 1991, Apr Average, Luxembourg, LUX
10.1758, 1991, May Average, Luxembourg, LUX
13.2422, 1991, Jun Average, Luxembourg, LUX
19.3299, 1991, Jul Average, Luxembourg, LUX
19.083, 1991, Aug Average, Luxembourg, LUX
15.8982, 1991, Sep Average, Luxembourg, LUX
9.34884, 1991, Oct Average, Luxembourg, LUX
4.38908, 1991, Nov Average, Luxembourg, LUX
1.59719, 1991, Dec Average, Luxembourg, LUX
1.07408, 1992, Jan Average, Luxembourg, LUX
3.37729, 1992, Feb Average, Luxembourg, LUX
6.0123, 1992, Mar Average, Luxembourg, LUX
8.38956, 1992, Apr Average, Luxembourg, LUX
14.9431, 1992, May Average, Luxembourg, LUX
16.5316, 1992, Jun Average, Luxembourg, LUX
18.608, 1992, Jul Average, Luxembourg, LUX
18.7912, 1992, Aug Average, Luxembourg, LUX
13.9704, 1992, Sep Average, Luxembourg, LUX
7.33903, 1992, Oct Average, Luxembourg, LUX
6.571, 1992, Nov Average, Luxembourg, LUX
2.59104, 1992, Dec Average, Luxembourg, LUX
3.76815, 1993, Jan Average, Luxembourg, LUX
0.15359, 1993, Feb Average, Luxembourg, LUX
5.27695, 1993, Mar Average, Luxembourg, LUX
10.89, 1993, Apr Average, Luxembourg, LUX
14.2617, 1993, May Average, Luxembourg, LUX
16.5772, 1993, Jun Average, Luxembourg, LUX
16.7932, 1993, Jul Average, Luxembourg, LUX
16.3476, 1993, Aug Average, Luxembourg, LUX
12.9536, 1993, Sep Average, Luxembourg, LUX
8.51072, 1993, Oct Average, Luxembourg, LUX
1.34636, 1993, Nov Average, Luxembourg, LUX
4.16671, 1993, Dec Average, Luxembourg, LUX
3.34887, 1994, Jan Average, Luxembourg, LUX
1.66129, 1994, Feb Average, Luxembourg, LUX
7.45088, 1994, Mar Average, Luxembourg, LUX
8.02355, 1994, Apr Average, Luxembourg, LUX
12.5306, 1994, May Average, Luxembourg, LUX
16.4266, 1994, Jun Average, Luxembourg, LUX
21.5227, 1994, Jul Average, Luxembourg, LUX
18.0848, 1994, Aug Average, Luxembourg, LUX
13.4095, 1994, Sep Average, Luxembourg, LUX
9.21942, 1994, Oct Average, Luxembourg, LUX
8.78858, 1994, Nov Average, Luxembourg, LUX
4.6525, 1994, Dec Average, Luxembourg, LUX
2.03226, 1995, Jan Average, Luxembourg, LUX
5.52517, 1995, Feb Average, Luxembourg, LUX
4.32583, 1995, Mar Average, Luxembourg, LUX
8.79782, 1995, Apr Average, Luxembourg, LUX
12.9366, 1995, May Average, Luxembourg, LUX
14.761, 1995, Jun Average, Luxembourg, LUX
20.7362, 1995, Jul Average, Luxembourg, LUX
19.3933, 1995, Aug Average, Luxembourg, LUX
13.0021, 1995, Sep Average, Luxembourg, LUX
12.7877, 1995, Oct Average, Luxembourg, LUX
5.04924, 1995, Nov Average, Luxembourg, LUX
-0.2005, 1995, Dec Average, Luxembourg, LUX
-0.4927, 1996, Jan Average, Luxembourg, LUX
-0.0581, 1996, Feb Average, Luxembourg, LUX
2.92007, 1996, Mar Average, Luxembourg, LUX
9.29085, 1996, Apr Average, Luxembourg, LUX
10.8477, 1996, May Average, Luxembourg, LUX
16.2295, 1996, Jun Average, Luxembourg, LUX
16.7226, 1996, Jul Average, Luxembourg, LUX
17.2635, 1996, Aug Average, Luxembourg, LUX
12.0576, 1996, Sep Average, Luxembourg, LUX
10.1398, 1996, Oct Average, Luxembourg, LUX
4.70704, 1996, Nov Average, Luxembourg, LUX
-0.6973, 1996, Dec Average, Luxembourg, LUX
-2.424, 1997, Jan Average, Luxembourg, LUX
5.03522, 1997, Feb Average, Luxembourg, LUX
7.68088, 1997, Mar Average, Luxembourg, LUX
7.67163, 1997, Apr Average, Luxembourg, LUX
12.9145, 1997, May Average, Luxembourg, LUX
15.7067, 1997, Jun Average, Luxembourg, LUX
17.3098, 1997, Jul Average, Luxembourg, LUX
20.4906, 1997, Aug Average, Luxembourg, LUX
14.6716, 1997, Sep Average, Luxembourg, LUX
9.12022, 1997, Oct Average, Luxembourg, LUX
5.31754, 1997, Nov Average, Luxembourg, LUX
3.46759, 1997, Dec Average, Luxembourg, LUX
2.88312, 1998, Jan Average, Luxembourg, LUX
4.37771, 1998, Feb Average, Luxembourg, LUX
6.54608, 1998, Mar Average, Luxembourg, LUX
8.4087, 1998, Apr Average, Luxembourg, LUX
14.6511, 1998, May Average, Luxembourg, LUX
16.3057, 1998, Jun Average, Luxembourg, LUX
16.5152, 1998, Jul Average, Luxembourg, LUX
