,Avg
0,11.909290833333335
1,11.756120833333332
2,12.193910833333335
3,12.317657499999997
4,12.396029999999998
5,12.461394166666665
6,11.565821666666665
7,12.697052499999998
8,12.981856666666667
9,12.496004999999998
10,12.797846666666665
11,12.752576666666668
12,12.653625833333335
13,12.897765000000001
14,12.702605833333335
15,13.227960000000003
16,12.967629166666667
17,12.705531666666666
18,13.354952500000001
19,13.396849166666664
20,12.684405833333331
21,12.622073333333335
22,12.429225833333334
23,12.486569166666667
24,12.473159999999998
25,13.250616666666666
