,Avg
0,19.84286916666667
1,19.705821666666665
2,20.407645
3,20.111693333333335
4,19.943789166666665
5,19.8598875
6,19.44473916666667
7,20.46583666666667
8,20.8558725
9,20.692855833333336
10,20.780218333333334
11,20.80696083333333
12,20.334099166666665
13,21.051189166666664
14,20.1510325
15,20.9946925
16,20.61802833333333
17,20.514409166666667
18,20.910591666666665
19,20.9999225
20,20.724895
21,20.053535833333335
22,20.652716666666667
23,20.527867500000003
24,20.559059166666668
25,21.414616666666664
