,Avg
0,19.59443333333334
1,19.97938333333333
2,19.728316666666668
3,19.767091666666666
4,19.840191666666666
5,19.24830833333333
6,20.237558333333332
7,20.491641666666663
8,19.364124999999998
9,19.5487
10,19.379983333333332
11,19.780475
12,19.672816666666666
13,19.830625
14,19.606533333333335
15,19.75044166666667
16,19.27530833333333
17,19.52835
18,19.894291666666668
19,19.859466666666666
20,19.557716666666668
21,19.785775
22,19.432616666666664
23,19.784750000000003
24,20.329966666666667
25,20.364033333333335
