,Avg
0,27.114950000000004
1,26.873674999999995
2,26.876633333333334
3,26.971891666666668
4,27.19235
5,27.058899999999998
6,27.233199999999997
7,27.72395
8,26.979441666666663
9,27.12989166666667
10,27.288716666666662
11,27.393833333333337
12,27.361075
13,27.120458333333335
14,27.214483333333334
15,27.170824999999997
16,27.128966666666667
17,27.027649999999998
18,27.393291666666666
19,27.55480833333333
20,27.332058333333336
21,27.526458333333338
22,27.295225000000002
23,27.426625
24,27.419808333333332
25,27.72951666666667
