,Avg
0,22.840716666666665
1,22.813258333333334
2,22.897525
3,22.694574999999997
4,23.295208333333335
5,22.994799999999998
6,23.198483333333332
7,23.211
8,23.060316666666665
9,23.398374999999998
10,23.838383333333336
11,24.216399999999997
12,24.107091666666673
13,23.888516666666664
14,24.017025000000004
15,23.772966666666665
16,23.671766666666667
17,23.698091666666667
18,24.309308333333334
19,23.935525
20,23.594025
21,23.3894
22,23.410325
23,23.482925000000005
24,23.55038333333334
25,23.867683333333332
