,Avg
0,24.765516666666667
1,24.304191666666664
2,24.363358333333338
3,24.62550833333333
4,24.3527
5,24.11978333333333
6,24.537616666666665
7,25.325083333333335
8,24.33866666666667
9,24.29319166666667
10,24.712433333333333
11,24.90439166666667
12,24.97435
13,24.611058333333336
14,24.818816666666667
15,24.71604166666667
16,24.38475
17,23.8965
18,24.57829166666666
19,24.92385833333333
20,23.88394166666667
21,24.783024999999995
22,24.517574999999997
23,24.65445
24,25.137008333333338
25,25.07315833333333
