location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
HU0057A,Csongrád,HU,2020-01-01T05:00:00Z,2020-01-01T06:00:00+01:00,pm25,39.718925,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2020-01-01T04:00:00Z,2020-01-01T05:00:00+01:00,pm25,52.29089,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2020-01-01T03:00:00Z,2020-01-01T04:00:00+01:00,pm25,52.115425,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2020-01-01T02:00:00Z,2020-01-01T03:00:00+01:00,pm25,43.2919,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2020-01-01T01:00:00Z,2020-01-01T02:00:00+01:00,pm25,43.311207,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2020-01-01T00:00:00Z,2020-01-01T01:00:00+01:00,pm25,57.11482,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-31T23:00:00Z,2020-01-01T00:00:00+01:00,pm25,57.13515,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-31T22:00:00Z,2019-12-31T23:00:00+01:00,pm25,58.15745,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-31T21:00:00Z,2019-12-31T22:00:00+01:00,pm25,58.079445,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-31T20:00:00Z,2019-12-31T21:00:00+01:00,pm25,39.59193,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
HU0057A,Csongrád,HU,2019-12-31T19:00:00Z,2019-12-31T20:00:00+01:00,pm25,39.561646,µg/m³,46.2666139994637,20.153053,"[{""url"":""http://www.eea.europa.eu/themes/air/air-quality"",""name"":""EEA""}]"
