Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Bahrain,BHR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2.902019672,6.852999957,4.011542051,0.895242857,2.252734517,4.665540204,6.580206432,6.566593037,15.750616,8.08243219,6.977585045,1.12105291,0.605800046,2.71349353,5.023465326,11.45594518,4.548430831,0.208487848,0.756860757
Bahrain,BHR,"Labor force, total",SL.TLF.TOTL.IN,280118,291227,305448,325858,349795,378726,413257,453396,501657,556576,614060,668183,714129,727110,740032,747939,758823,777898,816373
Bangladesh,BGD,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.380236167,0.350421247,0.525362089,0.145443905,0.095579368,0.445960783,0.689472336,1.095149819,0.635657188,0.817754424,1.449748396,0.879494542,1.068934861,0.983166534,1.18810285,1.73541854,1.468712877,1.451287742,1.050952188
Bangladesh,BGD,"Labor force, total",SL.TLF.TOTL.IN,44628349,46112850,47598773,48946794,50303954,51642722,52935998,54175076,55153622,56091457,57004748,57920440,58860664,59932582,61016510,62111483,63214859,64315695,65383994
Canada,CAN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,3.599559414,3.6665274,9.202457664,3.85570017,3.231967339,0.785746248,0.140922422,2.184559416,4.888360937,8.220132909,4.526210919,1.526554641,1.841558834,2.142292214,2.706688355,3.638694094,3.562559004,3.952376512,2.253728885
Canada,CAN,"Labor force, total",SL.TLF.TOTL.IN,15698979,15986015,16235249,16492176,16944708,17361674,17583893,17734768,17912036,18274723,18573598,18709052,18913515,19059145,19264216,19504718,19601132,19733477,19926490
Guatemala,GTM,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,3.468847298,0.843959607,-4.088377139,-5.007241111,-4.894897979,0.08891723,1.341107025,1.984464055,2.101467896,2.518679984,1.919184293,1.845690377,2.045541684,2.391486587,2.507793565,2.512748931,1.985216051,1.843449419,1.710511953
Guatemala,GTM,"Labor force, total",SL.TLF.TOTL.IN,3860937,3973923,4087333,4214943,4344954,4476913,4619227,4906124,5198807,5289678,5383364,5475328,5563096,5656806,6282035,5977798,6218528,6370690,6613095
India,IND,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.633739715,0.479034915,0.77555818,1.070660341,1.025248066,0.614080764,0.775952192,0.898676912,2.176329406,2.100365807,3.656950691,2.687536065,1.653785022,2.002065552,1.312934337,1.516275965,1.695658786,2.093306912,1.954884827
India,IND,"Labor force, total",SL.TLF.TOTL.IN,390041620,397713183,405521019,417003387,428862880,441049645,453489620,466155121,467165824,468125060,469002609,469829385,470610752,473683611,476800625,485906723,494963721,503834632,512765199
Indonesia,IDN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,-0.252290448,-1.332573541,-2.757439934,-1.855686193,0.074151638,-0.25425632,0.73824398,2.916114843,1.347942646,1.603010572,1.826329024,0.90391942,2.025179138,2.302984285,2.309780327,2.551356334,2.819972605,2.297616387,0.487174266
