Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Bahrain,BHR,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,64.9240036,64.96399689,65.23600006,65.87400055,66.7539978,67.73899841,68.16699982,68.85399628,69.7009964,70.58599854,71.40399933,70.53900146,70.63800049,70.65599823,70.70600128,70.77500153,..,..,..
Bahrain,BHR,Trade (% of GDP),NE.TRD.GNFS.ZS,135.8090158,127.026112,130.6075232,128.0914868,140.7372332,148.313493,147.1018554,137.7850506,145.882662,117.9637254,120.4723945,174.1589649,185.8889752,191.877805,175.5646506,154.0673928,..,..,..
Bahrain,BHR,"Vulnerable employment, total (% of total employment)",SL.EMP.VULN.ZS,1.597000051,1.589000054,2.287,2.229000032,2.052000061,2.166000009,2.180000067,2.064999938,2.019000053,1.963999987,1.992000043,1.995999932,1.952999949,1.932000041,1.890000045,1.840999991,..,..,..
Bangladesh,BGD,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,55.59600067,55.57600021,55.53699875,55.12599945,55.10800171,55.16400146,55.41899872,55.11299896,54.80199814,54.24900055,55.06100082,54.80799866,54.56700134,54.18999863,54.10900116,54.02700043,..,..,..
Bangladesh,BGD,Trade (% of GDP),NE.TRD.GNFS.ZS,29.32171436,32.09801707,28.96738072,27.6578849,26.85823415,34.39693486,38.11192443,39.94238265,42.62091403,40.09279622,37.80284267,47.42084984,48.11092275,46.29640272,44.5140802,42.08599908,..,..,..
Bangladesh,BGD,"Vulnerable employment, total (% of total employment)",SL.EMP.VULN.ZS,64.94799995,64.68100166,64.97299957,64.71100044,64.56800079,63.89999962,63.22999954,62.66499901,62.18200111,61.31399918,61.00799942,61.39199924,60.77400017,59.92299843,59.20700073,58.57700157,..,..,..
Canada,CAN,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,60.81299973,60.65200043,61.24700165,61.98300171,62.18399811,62.1590004,62.36500168,62.99700165,63.08100128,61.18399811,61.2140007,61.38700104,61.37900162,61.49000168,61.15999985,61.01499939,..,..,..
Canada,CAN,Trade (% of GDP),NE.TRD.GNFS.ZS,82.85772601,78.40632001,75.73269035,69.84343945,70.18054685,69.70984342,67.98118492,66.19204439,66.92423059,58.3482469,60.06072927,62.32862239,62.39713673,61.97339492,64.05762293,65.52773532,..,..,..
Canada,CAN,"Vulnerable employment, total (% of total employment)",SL.EMP.VULN.ZS,10.60399973,10.00100017,10.09100004,10.3179996,10.19599999,10.2580003,10.09699956,10.44299999,10.48500007,11.01499972,10.81400036,10.62700014,10.66600008,10.72699971,10.69999959,10.65200031,..,..,..
Guatemala,GTM,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,61.46099854,61.6629982,60.66799927,60.62900162,60.9620018,63.27899933,65.46600342,64.06800079,62.9070015,61.74300003,60.36600113,59.1609993,64.50800323,59.26399994,60.05899811,59.81000137,..,..,..
